alpha,beta,result
11,1,xlkatgctucatgt
11,2,ymlbuhduvdbuhu
11,3,znmcvievwecviv
11,4,aondwjfwxfdwjw
11,5,bpoexkgxygexkx
11,6,cqpfylhyzhfyly
11,7,drqgzmizaigzmz
11,8,esrhanjabjhana
11,9,ftsibokbckibob
11,10,gutjcplcdljcpc
11,11,hvukdqmdemkdqd
11,12,iwvlernefnlere
11,13,jxwmfsofgomfsf
11,14,kyxngtpghpngtg
11,15,lzyohuqhiqohuh
11,16,mazpivrijrpivi
11,17,nbaqjwsjksqjwj
11,18,ocbrkxtkltrkxk
11,19,pdcslyulmuslyl
11,20,qedtmzvmnvtmzm
11,21,rfeunawnowunan
11,22,sgfvobxopxvobo
11,23,thgwpcypqywpcp
11,24,uihxqdzqrzxqdq
11,25,vjiyrearsayrer
15,0,eqrbivzihzbivi
15,1,frscjwajiacjwj
15,2,gstdkxbkjbdkxk
15,3,htuelyclkcelyl
15,4,iuvfmzdmldfmzm
15,5,jvwgnaenmegnan
15,6,kwxhobfonfhobo
15,7,lxyipcgpogipcp
15,8,myzjqdhqphjqdq
15,9,nzakreirqikrer
15,10,oablsfjsrjlsfs
15,11,pbcmtgktskmtgt
15,12,qcdnuhlutlnuhu
15,13,rdeovimvumoviv
15,14,sefpwjnwvnpwjw
15,15,tfgqxkoxwoqxkx
15,16,ughrylpyxpryly
15,17,vhiszmqzyqszmz
15,18,wijtanrazrtana
15,19,xjkubosbasubob
15,20,yklvcptcbtvcpc
15,21,zlmwdqudcuwdqd
15,22,amnxervedvxere
15,23,bnoyfswfewyfsf
15,24,copzgtxgfxzgtg
15,25,dpqahuyhgyahuh
17,0,igvpqdlqblpqdq
17,1,jhwqremrcmqrer
17,2,kixrsfnsdnrsfs
17,3,ljystgoteostgt
17,4,mkztuhpufptuhu
17,5,nlauviqvgquviv
17,6,ombvwjrwhrvwjw
17,7,pncwxksxiswxkx
17,8,qodxyltyjtxyly
17,9,rpeyzmuzkuyzmz
17,10,sqfzanvalvzana
17,11,trgabowbmwabob
17,12,ushbcpxcnxbcpc
17,13,vticdqydoycdqd
17,14,wujderzepzdere
17,15,xvkefsafqaefsf
17,16,ywlfgtbgrbfgtg
17,17,zxmghuchscghuh
17,18,aynhivditdhivi
17,19,bzoijwejueijwj
17,20,capjkxfkvfjkxk
17,21,dbqklyglwgklyl
17,22,ecrlmzhmxhlmzm
17,23,fdsmnainyimnan
17,24,getnobjozjnobo
17,25,hfuopckpakopcp
19,0,mwzdylxyvxdyly
19,1,nxaezmyzwyezmz
19,2,oybfanzaxzfana
19,3,pzcgboabyagbob
19,4,qadhcpbczbhcpc
19,5,rbeidqcdacidqd
19,6,scfjerdebdjere
19,7,tdgkfsefcekfsf
19,8,uehlgtfgdflgtg
19,9,vfimhughegmhuh
19,10,wgjnivhifhnivi
19,11,xhkojwijgiojwj
19,12,yilpkxjkhjpkxk
19,13,zjmqlyklikqlyl
19,14,aknrmzlmjlrmzm
19,15,blosnamnkmsnan
19,16,cmptobnolntobo
19,17,dnqupcopmoupcp
19,18,eorvqdpqnpvqdq
19,19,fpswreqroqwrer
19,20,gqtxsfrsprxsfs
19,21,hruytgstqsytgt
19,22,isvzuhturtzuhu
19,23,jtwaviuvsuaviv
19,24,kuxbwjvwtvbwjw
19,25,lvycxkwxuwcxkx
21,0,qmdrgtjgpjrgtg
21,1,rneshukhqkshuh
21,2,softivlirltivi
21,3,tpgujwmjsmujwj
21,4,uqhvkxnktnvkxk
21,5,vriwlyoluowlyl
21,6,wsjxmzpmvpxmzm
21,7,xtkynaqnwqynan
21,8,yulzobroxrzobo
21,9,zvmapcspysapcp
21,10,awnbqdtqztbqdq
21,11,bxocreuraucrer
21,12,cypdsfvsbvdsfs
21,13,dzqetgwtcwetgt
21,14,earfuhxudxfuhu
21,15,fbsgviyveygviv
21,16,gcthwjzwfzhwjw
21,17,hduixkaxgaixkx
21,18,ievjylbyhbjyly
21,19,jfwkzmczickzmz
21,20,kgxlandajdlana
21,21,lhymboebkembob
21,22,mizncpfclfncpc
21,23,njaodqgdmgodqd
21,24,okbperhenhpere
21,25,plcqfsifoiqfsf
23,0,uchfobvojvfobo
23,1,vdigpcwpkwgpcp
23,2,wejhqdxqlxhqdq
23,3,xfkireyrmyirer
23,4,ygljsfzsnzjsfs
23,5,zhmktgatoaktgt
23,6,ainluhbupbluhu
23,7,bjomvicvqcmviv
23,8,ckpnwjdwrdnwjw
23,9,dlqoxkexseoxkx
23,10,emrpylfytfpyly
23,11,fnsqzmgzugqzmz
23,12,gotranhavhrana
23,13,hpusboibwisbob
23,14,iqvtcpjcxjtcpc
23,15,jrwudqkdykudqd
23,16,ksxverlezlvere
23,17,ltywfsmfamwfsf
23,18,muzxgtngbnxgtg
23,19,nvayhuohcoyhuh
23,20,owbzivpidpzivi
23,21,pxcajwqjeqajwj
23,22,qydbkxrkfrbkxk
23,23,rzeclyslgsclyl
23,24,safdmztmhtdmzm
23,25,tbgenauniuenan
25,0,ysltwjhwdhtwjw
25,1,ztmuxkixeiuxkx
25,2,aunvyljyfjvyly
25,3,bvowzmkzgkwzmz
25,4,cwpxanlahlxana
25,5,dxqybombimybob
25,6,eyrzcpncjnzcpc
25,7,fzsadqodkoadqd
25,8,gatberpelpbere
25,9,hbucfsqfmqcfsf
25,10,icvdgtrgnrdgtg
25,11,jdwehushosehuh
25,12,kexfivtiptfivi
25,13,lfygjwujqugjwj
25,14,mgzhkxvkrvhkxk
25,15,nhailywlswilyl
25,16,oibjmzxmtxjmzm
25,17,pjcknaynuyknan
25,18,qkdlobzovzlobo
25,19,rlempcapwampcp
25,20,smfnqdbqxbnqdq
25,21,tngorecrycorer
25,22,uohpsfdszdpsfs
25,23,vpiqtgetaeqtgt
25,24,wqjruhfubfruhu
25,25,xrksvigvcgsviv
